primaBot/2207-1/0.8 ARR/data/m_2022Jun.csv
sampling,up_since,batt,signal_quality,tick,tipping_factor
"2022-06-11T15:40:00+07", "2022-06-10T17:19:07+07",12.2, 14, 0, 0.2
"2022-06-11T15:45:00+07", "2022-06-10T17:19:07+07",12.2, 14, 0, 0.2
"2022-06-11T15:50:00+07", "2022-06-10T17:19:07+07",12.2, 14, 0, 0.2
"2022-06-11T15:55:00+07", "2022-06-10T17:19:07+07",12.2, 14, 0, 0.2
"2022-06-11T16:00:00+07", "2022-06-10T17:19:07+07",12.2, 14, 0, 0.2
"2022-06-11T16:05:00+07", "2022-06-10T17:19:07+07",12.2, 14, 0, 0.2
"2022-06-11T16:10:00+07", "2022-06-10T17:19:07+07",12.2, 14, 0, 0.2
"2022-06-11T16:15:00+07", "2022-06-10T17:19:07+07",12.2, 14, 0, 0.2
"2022-06-11T16:20:00+07", "2022-06-10T17:19:07+07",12.2, 14, 0, 0.2
"2022-06-11T16:25:00+07", "2022-06-10T17:19:07+07",12.2, 14, 0, 0.2
"2022-06-11T16:30:00+07", "2022-06-10T17:19:07+07",12.2, 14, 0, 0.2
"2022-06-11T16:35:00+07", "2022-06-10T17:19:07+07",12.2, 14, 0, 0.2
"2022-06-11T16:40:00+07", "2022-06-10T17:19:07+07",12.2, 14, 0, 0.2
"2022-06-11T16:45:00+07", "2022-06-10T17:19:07+07",12.2, 14, 0, 0.2
"2022-06-11T16:50:00+07", "2022-06-10T17:19:07+07",12.2, 14, 0, 0.2
"2022-06-11T16:55:00+07", "2022-06-10T17:19:07+07",12.2, 14, 0, 0.2
"2022-06-11T17:00:00+07", "2022-06-10T17:19:07+07",12.2, 13, 0, 0.2
"2022-06-11T17:05:00+07", "2022-06-10T17:19:07+07",12.2, 13, 0, 0.2
"2022-06-11T17:10:00+07", "2022-06-10T17:19:07+07",12.2, 13, 0, 0.2
"2022-06-11T17:15:00+07", "2022-06-10T17:19:07+07",12.2, 13, 0, 0.2
"2022-06-11T17:20:00+07", "2022-06-10T17:19:07+07",12.2, 14, 0, 0.2
